iter	RMSE
0	0.243065669
1	0.2430312097
2	0.2429945521
3	0.2429691328
4	0.2429430195
5	0.2429101943
6	0.242883548
7	0.2428603827
8	0.2428347774
9	0.2428007055
10	0.2427709475
11	0.2427390692
12	0.2427185636
13	0.2426935569
14	0.2426692748
15	0.2426414039
16	0.2426202667
17	0.2426068954
18	0.2425828541
19	0.2425657238
20	0.2425314087
21	0.2425074483
22	0.2424852664
23	0.24246293
24	0.2424404956
25	0.2424168937
26	0.2411952162
27	0.241174174
28	0.2411518559
29	0.2411322357
30	0.2411125901
31	0.2410932869
32	0.241076228
33	0.2410568438
34	0.2410379191
35	0.2410166699
36	0.2409917579
37	0.240968603
38	0.2409445825
39	0.240927836
40	0.2409056819
41	0.2408887501
42	0.2408670809
43	0.2408450702
44	0.2408254729
45	0.2408116195
46	0.2407959745
47	0.2407761116
48	0.2407568633
49	0.2407340676
50	0.2407098419
51	0.2406909441
52	0.2406684116
53	0.2406523361
54	0.2406381368
55	0.2406140569
56	0.2405911427
57	0.240569105
58	0.2405548235
59	0.2405339963
60	0.2405131572
61	0.2404968258
62	0.2404732286
63	0.2404563407
64	0.2404471493
65	0.2404272458
66	0.2404105349
67	0.2403949186
68	0.2403759923
69	0.2403538229
70	0.2403390997
71	0.2403253643
72	0.2403053008
73	0.2402807001
74	0.240259905975	0.2400426359
76	0.2400243033
77	0.2400084757
78	0.2399943844
79	0.2399773442
80	0.2399623338
81	0.2399415406
82	0.2399304399
83	0.2399146373
84	0.2399021316
85	0.2398878918
86	0.2398733319
87	0.2398611654
88	0.2398270729
89	0.2398081902
90	0.2397946103
91	0.2397794242
92	0.2397641092
93	0.2397534274
94	0.2397324163
95	0.2397185545
96	0.2397050791
97	0.2396844449
98	0.2396544007
99	0.2396433604
100	0.2396224523
101	0.2396034977
102	0.2395855491
10103	0.24089839104	0.2395604707
105	0.2395492807
106	0.2395383912
107	0.2395185081
108	0.2395043324
109	0.2394878754
110	0.2394788617
111	0.2394639885
11112	0.2407556419
113	0.2407433065
114	0.2407217493
115	0.2407035351
116	0.240685646117	0.2393779345
118	0.2393617075
119	0.2393380126
120	0.2393235063
121	0.2393066827
122	0.239291621
123	0.2392805044
124	0.2392743186
125	0.2392526163
126	0.2392343618
127	0.239208646
128	0.239198883
129	0.2391764863
130	0.2391636946
131	0.2391486527
132	0.2391397696
133	0.2391313949
134	0.2391200934
135	0.2391109002
136	0.2390949111
137	0.2390797966
138	0.2390660651
139	0.2390488418
140	0.2390286678
141	0.2390139747
142	0.2390030283
143	0.2389755542
144	0.2389595921
145	0.2389414728
146	0.2389285697
147	0.2389186442
148	0.2389050673
149	0.2388956558
150	0.2388756293
151	0.2388630158
152	0.2388390125
153	0.2388287322
154	0.2387984162
