iter	Passed	Remaining
0	0	792
1	1	575
2	1	468
3	4	1141
4	5	984
5	5	872
6	5	795
7	7	904
8	9	1032
9	10	972
10	10	927
11	11	887
12	11	866
13	12	829
14	13	818
15	13	792
16	13	764
17	14	752
18	14	729
19	15	708
20	16	733
21	17	727
22	17	721
23	18	709
24	18	694
25	19	679
26	19	665
27	19	6526	64	2203
27	106	3533
28	107	3419
29	107	3312
30	107	3211
31	108	3117
32	108	3029
33	109	2946
34	109	2867
35	111	2846
36	112	2775
37	112	2714
38	113	2649
39	113	2588
40	113	2530
41	114	2474
42	116	2461
43	129	2684
44	130	2629
45	130	2576
46	135	2617
47	138	2611
48	140	2591
49	140	2542
50	141	2495
51	141	2451
52	141	2409
53	142	2371
54	142	2333
55	143	2300
56	144	2271
57	145	2239
58	145	2211
59	146	2181
60	147	2151
61	147	2124
62	148	2096
63	149	2071
64	150	2050
65	150	2025
66	151	2006
67	152	1987
68	153	1960
69	154	1943
70	154	1924
71	155	1907
72	162	1961
73	164	19575	165	1908
76	179	2039
77	180	2021
78	181	2011
79	185	2025
80	186	2004
81	187	1986
82	187	1966
83	187	1944
84	188	1922
85	189	1905
86	189	1885
87	190	1869
88	190	1849
89	191	1832
90	191	103	184	1505
104	184	1492
105	185	1479
106	185	1466
107	185	1453
108	186	1441
109	186	1429
110	187	1420
111	205	1546
112	206	1534
113	206	1520
114	207	1509
115	207	1496
116	207	1484
117	208	1472
118	208	1460
119	208	1449
120	209	1437
121	209	1426
122	209	1415
123	210	1404
124	210	1393
125	263	1730
126	263	1717
127	264	1703
128	264	1691
129	265	1678
130	265	1665
131	265	1652
132	266	1643
133	267	1633
134	267	1621
135	269	1620
136	270	1610
137	304	1799
138	305	1786
139	305	1128	342	2185
129	342	2168
130	342	2151
131	347	2159
132	347	2143
133	349	2134
134	354	2146
135	354	2130
136	355	2114
137	355	2098
138	357	2090
139	357	2075
140	375	2163
141	394	2255
142	395	2241
143	396	2225
144	396	2211
145	397	2196
146	397	2180
147	397	2164
148	398	2149
149	423	2268
150	424	2252
151	424	2236
152	424	2221
153	425	2205
154	425	2190
155	425	2175
156	426	2161
157	426	2146
158	426	2132
159	427	2118
160	427	2104
161	428	2090
162	428	2076
163	428	2063
164	429	2049
165	429	2036
166	429	2023
167	430	2010
168	430	1997
1168	500	2320
169	501	2308
170	502	2298
171	503	2284
172	503	2270
173	503	2255
174	504	2241
175	504	2227
176	504	2213
177	505	2199
178	505	2186
179	507	2178
180	507	2165
181	508	2152
182	508	2140
183	509	2127
184	509	2114
185	509	2101
186	510	2089
187	510	2076
188	510	2064
189	511	2053
190	511	2041
191	511	2029
192	512	2017
193	512	2005
194	516	2008
195	517	1997
196	519	1993
197	520	1983
198	520	1973
199	521	1961
200	521	1951
201	522	1941
202	522	1930
203	522	1919
204	523	1908
205	523	1898
206	523	1887
207	524	1877
208	524	1866
209	524	1856
210	525	1846
211	525	1836
212	525	1826
213	526	1816
214	526	1807
215	526	1797
216	527	1787
217	528	1780
218	52233	567	1742
234	567	1734
235	56222	552	1807
223	552	1797
224	576	1865
225	581	1870
226	581	1861
227	582	1851
228	582	1841
229	582	1832
230	583	1823
231	583	1814
232	584	1806
233	584	1797
234	585	1789
235	586	1780
236	586	1772
237	586	1763
238	587	1754
239	591	1757
240	591	1748
241	592	1741
242	592	1732
243	593	1723
244	593	1715
245	594	1707
246	594	1699
247	595	1692
248	595	1684
249	596	1676
250	596	1668
251	596	1660
252	597	1653
253	598	1645
254	598	1637
255	598	1630
256	599	1623
257	599	1615
258	600	1608
259	600	1600
260	601	1594
2260	652	1729
261	652	1721
262	653	1713
263	65278	691	1670
279	69266	671	1724
267	678	1734
268	680	1731
269	681	1724
270	682	1716
271	682	1709
272	682	1701
273	683	1693
274	684	1686
275	684	1679
276	685	1672
277	685	1664
278	685	1656
279	686	1649
280	686	1641
281	703	1673
282	703	1665
283	703	1658
284	704	1650
285	704	1643
286	705	1636
287	705	1629
288	706	1622
289	706	1614
290	706	1607
291	707	1600
292	707	1593
293	707	1586
294	708	1579
295	708	1572
296	708	1565
297	709	1559
298	709	1552
299	709	1545
300	710	1538
301	710	1532
302	711	1525
303	711	1518
304	711	1512
305	712	1505
306	712	1499
307	712	1492
308	713	1486
309	713	1480
310	713	1473
311	714	1467
312	714	1461
313	715	1455
314	716	1450
315	716	1444
316	716	1438
317	717	1432
318	717	1426
319	717	1420
320	718	1414
321	745	1460
322	746	1456
323	747	1450
324	764	1477
325	764	1471
326	765	1464
327	765	1458
328	765	1452
329	766	1446
330	766	1440
331	766	1434
332	767	1428
333	767	1422
334	767	1416
335	768	1410
336	768	1404
337	768	1398
338	769	1393
339	769	1387
340	769	1381
341	770	1375
342	770	1370
343	770	1364
344	771	1359
345	771	1353
346	771	1347
347	779	1355
348	780	1350
349	832	1434
350	833	1429
351	834	1423
352	834	1418
353	834	1412
354	835	1406
355	835	1400
356	836	1396
357	840	1397
358	841	1391
359	843	1389
360	844	1384
361	844	1379
362	845	1373
363	845	1368
364	845	1362
365	846	1357
366	846	1352
367	847	1346
368	847	1342
369	848	1336
370	849	1331
371	849	1326
372	849	1321
373	850387	887	1292
388	888	1287
389	889	1283
390	889	1278
391	890	1273
392	890	1268
393	890	1263
394	891	1259
395	891	1254
396	892	1250
397	893	1245
398	893	1240
399	894	1236
400	894	1231
401	895	1226
402	895	1222
403	895	1217
